GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC103904344	206.499664932314	-2.12816181957995	0.57785144464439	-3.68288742600552	0.000230607013210213	0.00262691548609615
PPP1R37	108.499768934353	2.35378429008078	0.308998500915456	7.61746184239511	2.587123519697e-14	7.549506119505e-12
ENPP4	42.2483019084308	-2.4908596596649	0.363672441117541	-6.84918453543153	7.42721389689561e-12	1.08367065465921e-09
CUNH16orf89	27.9736456170859	4.69520187917413	0.736972298576787	6.37093400693801	1.87880477717678e-10	1.95052453645939e-08
LOC103894780	4.06187549938905	-3.27825962478932	0.656391436992082	-4.99436683667289	5.90291038158814e-07	2.08280141797409e-05
IQGAP2	395.357675296513	-2.13739372368942	0.302784471680355	-7.05912595790527	1.67553144715331e-12	2.74101712650216e-10
LOC103901357	4.74882161624875	2.7247333445283	0.528425319748009	5.15632624460094	2.5184195693581e-07	1.05392930582788e-05
MYT1L	206.69006906118	2.10643194180711	0.647959679172051	3.25086885730092	0.00115052915230777	0.00917449280462847
ACSS3	74.1374619808591	-2.335008071551	0.428708309646143	-5.44661257785817	5.13381150105843e-08	2.74404766222415e-06
FGF13	133.820730282105	-2.55667002463764	0.436176087539316	-5.86155476578525	4.58553186260914e-09	3.5364276800422e-07
WIPF3	81.606327497745	-2.43454812314053	0.612267605231332	-3.97628112664999	7.00013668833482e-05	0.00101997943082255
WIF1	40.7647570699279	-2.45397359282042	0.523598880425515	-4.6867433918616	2.77586653543576e-06	7.49275774577496e-05
BOK	44.9715724151295	-3.89132596013107	0.304392148882819	-12.7839235486626	2.01635222021034e-37	2.1770554921611e-33
APOLD1	139.370677900264	-2.64662232742512	0.484972042685259	-5.45726783088554	4.83516748465556e-08	2.62338207697619e-06
GLRB	63.6713590345396	2.33240029160129	0.724068780175637	3.22124134538092	0.00127636614988937	0.00992147251285496
TMEM269	49.7172822017828	2.16977163310066	0.630144984418446	3.44328953931629	0.000574683692499152	0.00534440984316394
TPD52L1	33.1090248874611	-2.7190228090068	0.652016615338005	-4.17017411066627	3.04367014096659e-05	0.000524960167923582
CLCN1	70.4976742663771	-4.33124550725486	1.01828494342757	-4.25347103009871	2.10482179848132e-05	0.000393179255332228
HHIP	7.7619581041891	-2.03231234130755	0.553285377560783	-3.67317197188043	0.000239558143289428	0.0026915062473355
CPLX4	7.5568166532393	2.45190519065222	0.476697919577184	5.14351980563915	2.69638213099606e-07	1.11117701787651e-05
LOC103898433	22.2563575458346	2.04053255232835	0.367464190129924	5.55301062562555	2.80791000056902e-08	1.62994646645934e-06
SDR16C5	7.68241113101246	-4.07073366265939	0.903264871236568	-4.50668878231317	6.58471022632672e-06	0.000147500241314626
ADGRF5	43.2913403119018	-2.20757487584564	0.418055479965264	-5.28057873091165	1.28776472746028e-07	6.12510826536947e-06
ADGRG4	5.52939498510248	-3.21651288588908	0.785990140346799	-4.09230691426978	4.27102842249158e-05	0.000685204961034794
LOC103906939	1026.18320755681	2.65368384762332	0.67266998341215	3.94500113437852	7.97996008380404e-05	0.00113218960610818
SNCG	67.1911627944301	-2.49787763743083	0.634420596474375	-3.93725810812594	8.24179433374839e-05	0.00116322422773178
CALB1	161.54357580745	2.31296861930557	0.699874556924366	3.30483312533895	0.000950329646794405	0.00797257901821227
TNNT3	6494.07146606725	-2.40819806243273	0.69436452757319	-3.4682043318794	0.000523948734530063	0.00497106721152996
RUNX3	8.63252914212691	-2.97356592981733	0.629284744182126	-4.72531069171562	2.29763793343099e-06	6.41023172280477e-05
FGFR4	45.1292514915908	-2.17995072894056	0.575357225288023	-3.788864783699	0.000151337252055765	0.00187803849550917
KCNB2	7.70808258012355	-4.03175429209421	0.788784566671001	-5.11135037683342	3.19864107089316e-07	1.27438109381673e-05
LOC109279720	21.9592442073128	-4.72893950799829	1.10277778934311	-4.28820706555506	1.80121143061472e-05	0.00034481701802034
LOC103896049	6.35465355665032	-3.2727387668171	0.865561479446642	-3.7810587052804	0.000156162840916116	0.00191202884254775
OTUD7A	207.978287284057	-2.23481313487489	0.431398860143447	-5.18038720392488	2.21425789152852e-07	9.60134235133872e-06
LOC103907531	4.04243052958101	-5.01316795934569	0.890274263674582	-5.63103771938097	1.79128542454957e-08	1.13102390227261e-06
TUBAL3	8.46986446183064	-4.28923064328481	0.859060439938419	-4.99293232917614	5.94693988118372e-07	2.09150195104693e-05
LRP2	63.5237688401121	3.46171055799029	0.785546735101533	4.40675316095975	1.04931650922376e-05	0.000219138691491081
CTH	102.353199118121	-2.73963405612785	0.349662394254092	-7.83508350096413	4.68531234091605e-15	1.58085366702721e-12
KCNT2	20.9312693775726	2.52727514913625	0.74217574252235	3.40522467164863	0.000661096396696342	0.00599316355594492
CCDC146	20.5795080496901	2.09103221664823	0.300553760249475	6.95726519911967	3.4694150053377e-12	5.50871673715164e-10
SYNPO2L	1673.91023011122	-3.0239846169845	0.87325724378023	-3.46287951061708	0.000534427655103154	0.00505272801414076
PTPDC1	8.38741939298401	-2.23002261929215	0.482832387015368	-4.61862683461863	3.86287833336601e-06	9.93035651556019e-05
ST8SIA2	242.923628227378	-2.19378496260714	0.423754463280737	-5.17701912948055	2.2545910716029e-07	9.73712792003861e-06
MAT1A	9666.92280473692	-2.59331586421067	0.558860812466993	-4.64036090267795	3.47801220406692e-06	9.00529922477471e-05
SNAP25	989.094421006997	3.59696381913926	0.662751138197866	5.42732197928776	5.72058767787166e-08	2.99830995912526e-06
LOC103899123	35.9329659208384	-4.17712031874606	1.22265352783191	-3.41643828252244	0.000634460434786494	0.00579549011369693
EXOC3L4	10.128121752412	3.5542832944704	0.813159296278962	4.37095574106438	1.23703868208001e-05	0.000251058395684546
CRYBA1	5.6490946603292	-5.13736195170307	0.994049203878283	-5.16811635848573	2.36465082116546e-07	1.00516279197336e-05
LOC103895572	28.521496161445	-4.68206931192583	0.812062318724562	-5.76565271404239	8.13424070650202e-09	5.59397432535684e-07
AMZ1	5.39976138942962	-3.26639024041463	0.634490226721433	-5.14805445828988	2.63202086371341e-07	1.09299727944283e-05
LOC103907609	4.08776618212153	-2.2640525404331	0.536253864779755	-4.22197897140185	2.42166707352164e-05	0.000437236444695871
MEOX1	12.2008250585581	-2.4525508487866	0.615042035305658	-3.98761500515612	6.67408537778294e-05	0.00098040952141391
DPT	28.3625007766957	-3.00778943938245	0.745434151490147	-4.03494987903328	5.46139544042761e-05	0.000835222189380976
CRYM	241.382202484448	-2.0846094887811	0.37280266278485	-5.59172371036459	2.24826377295347e-08	1.36373617733588e-06
LOC103904659	103.909252544656	-3.37737646131777	0.78355328757328	-4.31033410858085	1.63008074863965e-05	0.000317116789965086
TFCP2L1	15.9857379023742	2.08155447401599	0.376309705506242	5.53149292606129	3.17516670353367e-08	1.82352526053474e-06
