GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC103906145	22.1623386284721	-2.4147136122453	0.510957488871423	-4.72586010546356	2.29143366624042e-06	1.75092776322702e-05
VASH2	9.74537399741642	-3.28336624640716	0.5553923508317	-5.91179594297675	3.38397601705066e-09	5.16786266705742e-08
KNL1	6.08491254875587	-2.76288212371764	0.750049373399708	-3.68360033579453	0.000229962705554279	0.00102051267236726
LOC103906163	8.59350139779082	2.26374688659247	0.591568593684381	3.82668537640496	0.00012988034738054	0.000615591795727693
LRRN4	41.2637939313092	-2.11483495325725	0.412229880937699	-5.13023206480481	2.89385194708516e-07	2.7748596334528e-06
LOC103896579	6.08151511087483	-2.21799544221373	0.510357080711022	-4.34596780576386	1.38662907682918e-05	8.65901338491883e-05
TOP2A	57.1283477241259	-3.56117412093436	0.68489001615333	-5.19962919146584	1.99686493418734e-07	1.98894379099822e-06
CACNA1G	7.58873312600571	-2.78336729877489	0.789442399955411	-3.52573829190337	0.000422304065229356	0.00172516723128315
IGSF3	113.883172914445	-2.02622888596206	0.257837156711347	-7.85856046431062	3.88573142901625e-15	1.80837251030554e-13
ZNF385D	210.674396966697	2.72042214829636	0.387963417934922	7.01205841204515	2.34837113868067e-12	6.72556052634886e-11
LOC103903119	26.150569401295	2.88768909722162	0.289729219836418	9.96685490973956	2.12862723492578e-23	3.96254969922305e-21
LOC103903135	142.764519250362	-3.33972881548955	0.899938213531851	-3.71106456562459	0.000206389448697207	0.000924641857918566
IL31RA	5.35858791259324	-3.1291840390971	0.817060711569476	-3.82980602884003	0.00012824430690039	0.000608371608788889
LOC103893543	901.457655410066	-2.5479376910972	0.420960072712536	-6.05268256126782	1.42453411583683e-09	2.35178820316365e-08
WDR76	19.9224992272242	-2.58475067557479	0.40911670318998	-6.31788107261541	2.65173949817655e-10	5.19711132005268e-09
DYDC1	188.810482614951	-2.15793111379536	0.471142133816917	-4.58021254926422	4.64503626764518e-06	3.2672610150987e-05
KIF18A	135.757835410156	-4.76439524443855	0.808392259169041	-5.89366757338318	3.77716675450783e-09	5.71978533638444e-08
ARL1	179.481690863882	2.49108734523526	0.22872856093934	10.8910200589069	1.27207398038516e-27	4.90520813079234e-25
HTRA3	49.0658328935505	-3.34370075685097	0.455038872003925	-7.34816509659009	2.00946208347668e-13	6.86587408711954e-12
LOC103903191	106.865218133889	-3.37778715770433	0.823945893720564	-4.09952544632729	4.1399815187387e-05	0.000226670286297271
LOC103903195	61.3882856968876	-2.34623187081209	0.373411747333811	-6.28322994004438	3.31610022008593e-10	6.29243129635637e-09
LAMA2	163.167376004828	-2.16018902897912	0.270831252024842	-7.97614386385875	1.50975955794296e-15	7.58180183586517e-14
LAMA3	54.3426468811206	-2.23687759099098	0.395016576390358	-5.66274360289245	1.48971670009672e-08	1.97597926424377e-07
LAMA4	230.025437931171	-2.56346784004306	0.420518413196983	-6.09597049640312	1.08775476111653e-09	1.84082886454157e-08
EPB41L4B	64.4305452866178	4.9911414206391	0.564576922231849	8.84049847611277	9.52924880978156e-19	8.10136215741823e-17
LAMB1	275.36648430105	-3.8626692431849	0.400888108288956	-9.63528017748215	5.67370083771237e-22	8.27823620875412e-20
LOC103905609	59.1518793054497	2.60379886032406	0.472407133986322	5.51176871177278	3.55245549955246e-08	4.23353885526136e-07
LMNB1	115.187635268226	-2.21444035223803	0.333285163772668	-6.64428121303501	3.04700340502024e-11	7.1208865290051e-10
LMNB2	145.400592440921	-2.30199179607632	0.342794892678073	-6.71536199997639	1.87599898276017e-11	4.56197320199584e-10
KDELR3	14.1152290002608	-3.43715719889061	0.422340907668893	-8.13834780500418	4.0070834313422e-16	2.26515601090061e-14
CFAP54	7.40289205545739	3.05020929226437	0.812394276236082	3.75459229771577	0.000173623858413188	0.000793320693731356
CFAP57	13.1467800052521	-3.51868773368151	0.735076993099586	-4.7868288175424	1.69437234375744e-06	1.33729080376821e-05
VIM	1540.66214140184	-2.32317032613831	0.259530334494631	-8.95144041894792	3.50873476107414e-19	3.29424427959283e-17
VIP	28.2105172980101	-3.39279641972934	0.643890864596038	-5.26921036821652	1.37011870727613e-07	1.42653535992867e-06
TP63	51.7591575635927	2.58476180612975	0.663676434117732	3.89461139985457	9.83562823465014e-05	0.000480739149160333
ARSB	56.6433020948601	-2.41901874557268	0.385388943301669	-6.2768244590742	3.4555784460329e-10	6.52270637794008e-09
INCENP	43.2491357279906	-3.78474599670602	0.527450266311866	-7.1755504517429	7.20168330627954e-13	2.24729984560405e-11
KIAA1522	8.81717608240669	-2.18686022163007	0.572102011487645	-3.82250049417506	0.000132105213789189	0.000624218815440645
STC2	1282.41751507043	-5.68727662236841	0.388610356587105	-14.634907500448	1.68204289259964e-48	6.05367237046611e-45
LSAMP	22.3002832649348	-2.38047569050486	0.507726739261169	-4.68849778124522	2.75217899049253e-06	2.05499837900055e-05
COL14A1	30.4451025250467	-3.3310549323279	0.395680668154156	-8.41854353882696	3.81193505559711e-17	2.57234142470513e-15
MOCS1	6.50537691583562	2.91920102228973	0.575460962687525	5.0728046063393	3.91994948053036e-07	3.63918267766864e-06
TRNAA-AGC_3	47.0990561840725	-2.71547021006439	0.552458266637635	-4.91524948407642	8.8669469055788e-07	7.5264485644288e-06
HAS2	16.9317694498926	-3.13459736079855	0.643134484911244	-4.87393762010934	1.09395545592206e-06	9.03015065565025e-06
CARD8	4.97808627125622	-2.65709100180937	0.690630864842523	-3.84733891442173	0.000119407736655949	0.000571220794273052
LOC103906206	8.07469773576208	4.3029823599745	0.86030957945143	5.00166737968704	5.68365903444415e-07	5.09329185161939e-06
LOC103902644	879.43532550988	-7.22642420515815	0.667446474999782	-10.826971863415	2.56497789705292e-27	8.93356979176786e-25
LOC103899687	36.3053887046438	3.05603467250799	0.502338455249025	6.08361681367398	1.17501237053887e-09	1.96997027402301e-08
FKBP10	35.269584126199	-3.51646440126748	0.434348497699249	-8.09595156860044	5.68184275558189e-16	3.11405361583846e-14
LOC103899689	6.03144179204577	5.24910851097403	0.722142833507306	7.26879540641584	3.62707249096052e-13	1.18671217226972e-11
BAG2	131.159726162763	2.27598946801547	0.281859795055714	8.07489932207461	6.75323426132502e-16	3.609637144531e-14
LOC103906216	4.53903838226288	-2.72191537856021	0.910799684210458	-2.98848959408648	0.0028036004710731	0.00881749906384396
COL6A1	618.938866491892	-4.08404080939156	0.483981661880204	-8.43842056644379	3.21654439133745e-17	2.21204011422104e-15
ITPR3	66.3694576946266	-2.34953297498347	0.433470960630054	-5.42027768496511	5.95065312244223e-08	6.78449860221846e-07
